round,mesocosm,plantsp,leaf,trt,den,height,stems,nm_leaves,1total_w,1total_h,nm_dmged,cons_area,sp,stage,body_lg,sex,vial_weight,poo_weight,Notes
3,6,grass,2,u,3,,,,1.2,10,,,ach,,,,,,
3,6,grass,3,u,3,,,,1.2,14.5,,,ach,,,,,,
3,7,grass,1,b,1,,,,1.1,10.1,,,apt,,19.9,m,,,
3,8,grass,1,b,2,,,,1.1,11.2,,,apt,,19.52,m,,,
3,8,grass,2,b,2,,,,1.1,11.5,,,apt,,,,,,
3,9,grass,1,b,3,,,,1.3,19.4,,,apt,,20.71,m,,,
3,9,grass,2,b,3,,,,1.1,16.3,,,apt,,,,,,
3,9,grass,3,b,3,,,,1.1,20,,,apt,,,,,,
3,10,grass,1,u,1,,,,1,14,,,apt,,18.86,m,,,
3,11,grass,1,u,2,,,,1,15.1,,,apt,,19.34,m,,,
3,11,grass,2,u,2,,,,1,13.5,,,apt,,,,,,
3,12,grass,1,u,3,,,,1,9.8,,,apt,,16.52,m,,,
3,12,grass,2,u,3,,,,1,11.5,,,apt,,,,,,
3,12,grass,3,u,3,,,,1,10,,,apt,,,,,,
3,13,grass,1,b,4,,,,1.5,21,,,apt,,17.71,m,,,
3,13,grass,2,b,4,,,,1.6,20,,,apt,,,,,,
3,13,grass,3,b,4,,,,1.3,20.1,,,apt,,,,,,
3,13,grass,4,b,4,,,,1.1,11,,,apt,,,,,,
4,1,grass,,b,,,,,,,1,0.221,ach,,27.24,m,1.1249,1.1306,
4,1,grass,,b,,,,,,,0,0,ach,,27.24,,,,
4,1,grass,,u,,,,,,,1,0.534,ach,,27.24,,,,
4,1,grass,,u,,,,,,,1,0.749,ach,,27.24,,,,
4,2,grass,,b,,,,,,,0,0,ach,,24.4,m,1.1163,1.118,
4,2,grass,,b,,,,,,,0,0,ach,,24.4,,,,
4,2,grass,,u,,,,,,,0,0,ach,,24.4,,,,
4,2,grass,,u,,,,,,,1,0.283,ach,,24.4,,,,
4,3,grass,,b,,,,,,,1,0.571,ach,,28.33,m,1.1037,1.1103,
4,3,grass,,b,,,,,,,1,0.578,ach,,28.33,,,,
