strip,round,cage,b_u,plant ,perc,height ,bare,notes 
3,1,36,b,cent ,12,22,,
3,1,36,b,dican ,0,,,
3,1,36,b,bb,2,4,,
3,1,36,b,silky,4,13,,
3,1,36,b,dog ,0,,,
3,1,36,b,other ,0,,,
4,1,37,u,wide ,0,,,
4,1,37,u,cent ,25,47,,
4,1,37,u,dican ,0,,,
4,1,37,u,bb,0,,,
4,1,37,u,silky,8,27,,
4,1,37,u,dog ,0,0,,
4,1,37,u,other ,1,,,forb
4,1,38,u,wide ,0,,,
4,1,38,u,cent ,28,39,,
4,1,38,u,dican ,0,,,
4,1,38,u,bb,2,9,,
4,1,38,u,silky,1,17,,
4,1,38,u,dog ,0,,,
4,1,38,u,other ,0,,,
4,1,39,u,wide ,0,,,
4,1,39,u,cent ,4,14,,
4,1,39,u,dican ,0,,,
4,1,39,u,bb,5,5,,
4,1,39,u,silky,8,20,,
4,1,39,u,dog ,0,,,
4,1,39,u,other ,1,,,fab
4,1,40,u,wide ,0,,,
4,1,40,u,cent ,18,39,,
4,1,40,u,dican ,0,,,
4,1,40,u,bb,1,7,,
4,1,40,u,silky,12,17,,
4,1,40,u,dog ,0,,,
4,1,40,u,other ,2,,,fab
4,1,41,u,wide ,13,15,,
4,1,41,u,cent ,0,,,
4,1,41,u,dican ,0,,,
4,1,41,u,bb,3,6,,
4,1,41,u,silky,15,20,,
4,1,41,u,dog ,0,,,
4,1,41,u,other ,5,,,"idk forb(4), fab(1)"
4,1,42,u,wide ,0,,,
4,1,42,u,cent ,13,40,,
4,1,42,u,dican ,0,,,
4,1,42,u,bb,11,12,,
4,1,42,u,silky,9,22,,
4,1,42,u,dog ,0,,,
4,1,42,u,other ,3,,,"ants, forbs"
4,1,43,u,wide ,0,,,
4,1,43,u,cent ,18,44,,
4,1,43,u,dican ,0,,,
4,1,43,u,bb,0,,,
4,1,43,u,silky,8,16,,
4,1,43,u,dog ,0,,,
4,1,43,u,other ,0,,,
4,1,44,u,wide ,18,21,,
4,1,44,u,cent ,7,35,,
4,1,44,u,dican ,2,18,,
4,1,44,u,bb,0,,,
4,1,44,u,silky,17,27,,
4,1,44,u,dog ,0,,,
4,1,44,u,other ,0,,,
4,1,45,u,wide ,0,,,
4,1,45,u,cent ,18,34,,
4,1,45,u,dican ,2,11,,
4,1,45,u,bb,6,7,,
4,1,45,u,silky,15,21,,
4,1,45,u,dog ,0,,,
4,1,45,u,other ,0,,,
4,1,46,u,wide ,0,,,
4,1,46,u,cent ,23,41,,
4,1,46,u,dican ,5,20,,
4,1,46,u,bb,0,,,
4,1,46,u,silky,25,22,,
4,1,46,u,dog ,0,,,
4,1,46,u,other ,1,,,
4,1,47,u,wide ,0,,,
4,1,47,u,cent ,30,46,,
4,1,47,u,dican ,1,3,,
4,1,47,u,bb,5,10,,
4,1,47,u,silky,15,21,,
4,1,47,u,dog ,0,,,
4,1,47,u,other ,2,,,
4,1,48,u,wide ,0,,,
4,1,48,u,cent ,22,42,,
4,1,48,u,dican ,0,,,
4,1,48,u,bb,7,6,,
4,1,48,u,silky,4,20,,
4,1,48,u,dog ,0,,,
4,1,48,u,other ,1,,,forb
5,1,49,b,wide ,8,16,,
5,1,49,b,cent ,8,20,,
5,1,49,b,dican ,0,,,
5,1,49,b,bb,0,,,
5,1,49,b,silky,0,,,
5,1,49,b,dog ,0,,,
5,1,49,b,other ,14,,,"ast(6), idk bush(8)"
5,1,50,b,wide ,10,10,,
5,1,50,b,cent ,3,14,,
5,1,50,b,dican ,0,,,
5,1,50,b,bb,0,,,
5,1,50,b,silky,10,16,,
5,1,50,b,dog ,1,6,,
5,1,50,b,other ,1,,,mex pet
5,1,51,b,wide ,15,17,,
5,1,51,b,cent ,4,10,,
5,1,51,b,dican ,1,10,,
5,1,51,b,bb,0,,,
5,1,51,b,silky,17,16,,
5,1,51,b,dog ,0,,,
5,1,51,b,other ,0,,,
5,1,52,b,wide ,8,11,,
5,1,52,b,cent ,0,,,
5,1,52,b,dican ,0,,,
5,1,52,b,bb,3,6,,
5,1,52,b,silky,10,28,,
5,1,52,b,dog ,5,35,,
5,1,52,b,other ,2,,,mex pet
5,1,53,b,wide ,4,15,,
5,1,53,b,cent ,0,,,
5,1,53,b,dican ,0,,,
5,1,53,b,bb,5,9,,
5,1,53,b,silky,15,16,,
5,1,53,b,dog ,0,,,
5,1,53,b,other ,0,,,
5,1,54,b,wide ,0,,,
5,1,54,b,cent ,18,17,,
5,1,54,b,dican ,0,,,
5,1,54,b,bb,0,,,
5,1,54,b,silky,4,14,,
5,1,54,b,dog ,0,,,
5,1,54,b,other ,0,,,
6,1,55,u,wide ,0,,,
6,1,55,u,cent ,15,40,,
6,1,55,u,dican ,2,15,,
6,1,55,u,bb,2,8,,
6,1,55,u,silky,13,25,,
6,1,55,u,dog ,0,,,
6,1,55,u,other ,2,,,"sedge(1), forb(1)"
6,1,56,u,wide ,0,,,
6,1,56,u,cent ,13,31,,
6,1,56,u,dican ,0,,,
6,1,56,u,bb,5,5,,
6,1,56,u,silky,2,14,,
6,1,56,u,dog ,12,36,,
6,1,56,u,other ,0,,,
6,1,57,u,wide ,0,,,
6,1,57,u,cent ,35,48,,
6,1,57,u,dican ,0,,,
6,1,57,u,bb,0,,,
6,1,57,u,silky,0,,,
6,1,57,u,dog ,17,51,,
6,1,57,u,other ,0,,,
6,1,58,u,wide ,3,9,,
6,1,58,u,cent ,12,27,,
6,1,58,u,dican ,0,,,
6,1,58,u,bb,5,10,,
6,1,58,u,silky,7,20,,
6,1,58,u,dog ,0,,,
6,1,58,u,other ,13,21,,"height written is for sedge. sedge(12), fab(1)"
6,1,59,u,wide ,0,,,
6,1,59,u,cent ,28,49,,
6,1,59,u,dican ,0,,,
6,1,59,u,bb,0,,,
6,1,59,u,silky,7,32,,
6,1,59,u,dog ,2,30,,
6,1,59,u,other ,1,,,forb(1)
6,1,60,u,wide ,0,,,
6,1,60,u,cent ,12,30,,
6,1,60,u,dican ,0,,,
6,1,60,u,bb,3,5,,
6,1,60,u,silky,15,23,,
6,1,60,u,dog ,0,,,
6,1,60,u,other ,0,,,
1,2,1,b,wide ,0,,35,data collected 9/16
1,2,1,b,cent ,0,,,switched order of u/b to reflect true treatment
1,2,1,b,dican ,8,33,,
1,2,1,b,bb,0,,,
1,2,1,b,silky,20,52,,
1,2,1,b,dog ,0,,,
1,2,1,b,other ,3,,,forbs
1,2,2,b,wide ,0,,15,
1,2,2,b,cent ,15,12,,
1,2,2,b,dican ,5,34,,
1,2,2,b,bb,0,,,
1,2,2,b,silky,0,,,
1,2,2,b,dog ,0,,,
1,2,2,b,other ,0,,,
1,2,3,b,wide ,7,29,25,
1,2,3,b,cent ,15,40,,
1,2,3,b,dican ,5,32,,
1,2,3,b,bb,5,8,,
1,2,3,b,silky,8,38,,
1,2,3,b,dog ,0,,,
1,2,3,b,other ,5,,,forbs
1,2,4,b,wide ,0,,15,
1,2,4,b,cent ,28,78,,
1,2,4,b,dican ,0,,,
1,2,4,b,bb,4,7,,
1,2,4,b,silky,5,35,,
1,2,4,b,dog ,0,,,
1,2,4,b,other ,2,,,forbs
1,2,5,b,wide ,0,,40,
1,2,5,b,cent ,23,59,,
1,2,5,b,dican ,0,,,
1,2,5,b,bb,2,6,,
1,2,5,b,silky,2,21,,lots of herbivory
1,2,5,b,dog ,0,,,
1,2,5,b,other ,0,,,
1,2,6,b,wide ,12,32,40,
1,2,6,b,cent ,5,29,,
1,2,6,b,dican ,3,22,,
1,2,6,b,bb,2,6,,
1,2,6,b,silky,8,28,,
1,2,6,b,dog ,0,,,
1,2,6,b,other ,0,,,
1,2,7,b,wide ,0,,12,
1,2,7,b,cent ,40,55,,
1,2,7,b,dican ,0,,,
1,2,7,b,bb,0,,,
1,2,7,b,silky,5,34,,
1,2,7,b,dog ,0,,,
1,2,7,b,other ,2,,,fab
1,2,8,b,wide ,0,,8,
1,2,8,b,cent ,85,85,,as tall as cage
1,2,8,b,dican ,0,,,
1,2,8,b,bb,0,,,
1,2,8,b,silky,0,,,
1,2,8,b,dog ,0,,,
1,2,8,b,other ,2,,,forb
1,2,9,b,wide ,0,,40,
1,2,9,b,cent ,40,63,,
1,2,9,b,dican ,0,,,
1,2,9,b,bb,0,,,
1,2,9,b,silky,0,,,
1,2,9,b,dog ,5,31,,
1,2,9,b,other ,0,,,
1,2,10,b,wide ,0,,20,
1,2,10,b,cent ,40,85,,as tall as cage
1,2,10,b,dican ,0,,,
1,2,10,b,bb,0,,,
1,2,10,b,silky,2,25,,
1,2,10,b,dog ,0,,,
1,2,10,b,other ,0,,,
1,2,11,b,wide ,0,,35,
1,2,11,b,cent ,45,85,,
1,2,11,b,dican ,0,,,
1,2,11,b,bb,0,,,
1,2,11,b,silky,0,,,
1,2,11,b,dog ,0,,,
1,2,11,b,other ,2,,,forb
1,2,12,b,wide ,0,,40,baby ach
1,2,12,b,cent ,30,85,,
1,2,12,b,dican ,0,,,
1,2,12,b,bb,2,8,,
1,2,12,b,silky,4,15,,
1,2,12,b,dog ,0,,,
1,2,12,b,other ,2,,,fab
2,2,13,u,wide ,0,,8,
2,2,13,u,cent ,18,22,,
2,2,13,u,dican ,0,,,
2,2,13,u,bb,0,,,
2,2,13,u,silky,5,29,,
2,2,13,u,dog ,0,,,
2,2,13,u,other ,15,,,"fab, lots of herbiv, other (5)"
2,2,14,u,wide ,0,,15,
2,2,14,u,cent ,2,20,,
2,2,14,u,dican ,1,21,,
2,2,14,u,bb,8,7,,
2,2,14,u,silky,3,27,,
2,2,14,u,dog ,0,0,,
2,2,14,u,other ,2,,,fab
2,2,15,u,wide ,0,0,10,
2,2,15,u,cent ,2,25,,
2,2,15,u,dican ,0,0,,
2,2,15,u,bb,1,6,,
2,2,15,u,silky,8,53,,
2,2,15,u,dog ,45,85,,
2,2,15,u,other ,3,,,asteracea
2,2,16,u,wide ,20,30,15,
2,2,16,u,cent ,0,0,,
2,2,16,u,dican ,4,24,,
2,2,16,u,bb,5,6,,
2,2,16,u,silky,8,56,,
2,2,16,u,dog ,0,0,,
2,2,16,u,other ,0,,,
2,2,17,u,wide ,18,32,30,
2,2,17,u,cent ,3,29,,
2,2,17,u,dican ,5,26,,
2,2,17,u,bb,8,6,,
2,2,17,u,silky,4,29,,
2,2,17,u,dog ,0,0,,
2,2,17,u,other ,1,,,fab(1)
2,2,18,u,wide ,0,0,8,
2,2,18,u,cent ,12,15,,
2,2,18,u,dican ,3,21,,
2,2,18,u,bb,5,6,,
2,2,18,u,silky,3,17,,"super eaten (80% herbivory), 12% silky if uneaten"
2,2,18,u,dog ,0,0,,
2,2,18,u,other ,1,,,
2,2,19,u,wide ,17,41,35,
2,2,19,u,cent ,6,12,,
2,2,19,u,dican ,0,0,,
2,2,19,u,bb,5,5,,
2,2,19,u,silky,10,46,,
2,2,19,u,dog ,0,0,,
2,2,19,u,other ,10,,,fab
2,2,20,u,wide ,14,29,15,
2,2,20,u,cent ,11,61,,
2,2,20,u,dican ,0,0,,
