num,strip ,block ,cage ,trt,sp,ind,date,type,round,length,width,sex ,color,stage ,alive,notes
,2,4,19,ach_low,ach,5,6/20/2025,stock,1 ,23.98,1.65,m,B,,1,
,2,4,19,ach_low,ach,6,6/20/2025,stock,1 ,24.67,1.79,m,B,,1,
,2,4,20,ach_high,ach,1,6/20/2025,stock,1 ,28.44,2.62,f,B,,1,
,2,4,20,ach_high,ach,2,6/20/2025,stock,1 ,26.38,1.31,m,B,,1,
,2,4,20,ach_high,ach,3,6/20/2025,stock,1 ,30.93,1.56,m,B,,1,
,2,4,20,ach_high,ach,4,6/20/2025,stock,1 ,23.29,1.32,m,LB,,1,
,2,4,20,ach_high,ach,5,6/20/2025,stock,1 ,23.13,2.14,f,B,,1,
,2,4,20,ach_high,ach,6,6/20/2025,stock,1 ,29.46,1.62,m,B,,1,
,2,4,20,ach_high,ach,7,6/20/2025,stock,1 ,22.52,1.39,f,G-Tstr-PinkLegs,,1,
,2,4,20,ach_high,ach,8,6/20/2025,stock,1 ,30,1.33,m,B,,1,
,2,4,20,ach_high,ach,9,6/20/2025,stock,1 ,27.54,1.76,m,B,,1,
,2,4,21,apt_low,apt,1,6/20/2025,stock,1 ,11.45,2.51,u,G,,1,
,2,4,21,apt_low,apt,2,6/20/2025,stock,1 ,7.49,1.31,u,G,,1,
,2,4,21,apt_low,apt,3,6/20/2025,stock,1 ,12.11,1.88,u,G,,1,
,2,4,21,apt_low,apt,4,6/20/2025,stock,1 ,6.63,1.18,u,G,,1,
,2,4,21,apt_low,apt,5,6/20/2025,stock,1 ,6.95,1.04,u,G,,1,
,2,4,21,apt_low,apt,6,6/20/2025,stock,1 ,11.02,1.62,u,G,,1,
,2,4,22,ach_66,apt,1,6/20/2025,stock,1 ,13.26,2.51,m?,G,,1,
,2,4,22,ach_66,apt,2,6/20/2025,stock,1 ,12.57,1.3,u,G,,1,
,2,4,22,ach_66,apt,3,6/20/2025,stock,1 ,8.64,1.68,u,G,,1,
,2,4,22,ach_66,ach,1,6/20/2025,stock,1 ,24.02,2.41,f,B,,1,
,2,4,22,ach_66,ach,2,6/20/2025,stock,1 ,20.42,2.23,f,G,,1,
,2,4,22,ach_66,ach,3,6/20/2025,stock,1 ,20.03,1.57,f,B,,1,
,2,4,22,ach_66,ach,4,6/20/2025,stock,1 ,18.67,2.1,m,G,,1,
,2,4,22,ach_66,ach,5,6/20/2025,stock,1 ,20.24,2.21,f,G,,1,
,2,4,22,ach_66,ach,6,6/20/2025,stock,1 ,22.72,1.61,f,G-Tstr,,1,
,2,4,23,ach_33,apt,1,6/20/2025,stock,1 ,9.48,1.48,u,G,,1,
,2,4,23,ach_33,apt,2,6/20/2025,stock,1 ,8.02,1.96,u,G,,1,
,2,4,23,ach_33,apt,3,6/20/2025,stock,1 ,18.13,3.27,u,G,,1,
,2,4,23,ach_33,apt,4,6/20/2025,stock,1 ,8.71,1.31,u,G,,1,
,2,4,23,ach_33,apt,5,6/20/2025,stock,1 ,11.76,2.13,u,G,,1,
,2,4,23,ach_33,apt,6,6/20/2025,stock,1 ,10.62,1.38,u,G,,1,
,2,4,23,ach_33,ach,1,6/20/2025,stock,1 ,19.84,1.69,f,G-Tstr,,1,
,2,4,23,ach_33,ach,2,6/20/2025,stock,1 ,21.38,1.95,f,B,,1,
,2,4,23,ach_33,ach,3,6/20/2025,stock,1 ,23.08,1.66,f,YB,,1,
,2,4,24,apt_high,apt,1,6/20/2025,stock,1 ,11.77,2.15,u,G,,1,
,2,4,24,apt_high,apt,2,6/20/2025,stock,1 ,12.38,2.79,u,G,,1,
,2,4,24,apt_high,apt,3,6/20/2025,stock,1 ,17.61,4.21,u,G,,1,
,2,4,24,apt_high,apt,4,6/20/2025,stock,1 ,20.91,3.66,u,G,,1,
,2,4,24,apt_high,apt,5,6/20/2025,stock,1 ,7.62,1.77,u,G,,1,
,2,4,24,apt_high,apt,6,6/20/2025,stock,1 ,11.05,1.74,u,G,,1,
,2,4,24,apt_high,apt,7,6/20/2025,stock,1 ,16.7,2.9,u,G,,1,
,2,4,24,apt_high,apt,8,6/20/2025,stock,1 ,16.24,2.54,u,G,,1,
,2,4,24,apt_high,apt,9,6/20/2025,stock,1 ,6.07,0.94,u,G,,1,
,3,5,25,ach_low,ach,1,6/27/2025,stock,1 ,24.57,1.42,f,G-Tstr,,1,
,3,5,25,ach_low,ach,2,6/27/2025,stock,1 ,30.27,1.5,m,B,,1,
,3,5,25,ach_low,ach,3,6/27/2025,stock,1 ,22.72,1.45,f,G-Tstr,,1,
,3,5,25,ach_low,ach,4,6/27/2025,stock,1 ,28.13,1.75,f,B,,1,
,3,5,25,ach_low,ach,5,6/27/2025,stock,1 ,30.91,1.37,m,GB,,1,
,3,5,25,ach_low,ach,6,6/27/2025,stock,1 ,22.26,1.03,f,Y,,1,
,3,5,26,ach_33,apt,1,6/27/2025,stock,1 ,9.42,1.33,u,G,,1,
,3,5,26,ach_33,apt,2,6/27/2025,stock,1 ,10.44,1.43,u,G,,1,
,3,5,26,ach_33,apt,3,6/27/2025,stock,1 ,11.13,1.81,u,G,,1,
,3,5,26,ach_33,apt,4,6/27/2025,stock,1 ,8.65,1.2,u,G,,1,
,3,5,26,ach_33,apt,5,6/27/2025,stock,1 ,23.63,4.36,f,G,,1,
,3,5,26,ach_33,apt,6,6/27/2025,stock,1 ,20.98,3.12,u,G,,1,
,3,5,26,ach_33,ach,1,6/27/2025,stock,1 ,24.5,1.8,f,OB,,1,
,3,5,26,ach_33,ach,2,6/27/2025,stock,1 ,25.09,1.4,m,G,,1,
,3,5,26,ach_33,ach,3,6/27/2025,stock,1 ,29.48,1.33,m,B,,1,
,3,5,27,apt_high,apt,1,6/27/2025,stock,1 ,15.72,1.99,u,G,,1,
,3,5,27,apt_high,apt,2,6/27/2025,stock,1 ,10.45,1.43,u,G,,1,
,3,5,27,apt_high,apt,3,6/27/2025,stock,1 ,11.62,1.7,u,G,,1,
,3,5,27,apt_high,apt,4,6/27/2025,stock,1 ,13.57,1.9,u,G,,1,
,3,5,27,apt_high,apt,5,6/27/2025,stock,1 ,15.15,2.57,u,G,,1,
,3,5,27,apt_high,apt,6,6/27/2025,stock,1 ,14.05,2.35,u,G,,1,
,3,5,27,apt_high,apt,7,6/27/2025,stock,1 ,11.33,1.54,u,G,,1,
,3,5,27,apt_high,apt,8,6/27/2025,stock,1 ,15.45,1.88,u,G,,1,
,3,5,27,apt_high,apt,9,6/27/2025,stock,1 ,12.26,1.66,u,G,,1,
,3,5,28,apt_low,apt,1,6/27/2025,stock,1 ,10.8,1.43,u,G,,1,
,3,5,28,apt_low,apt,2,6/27/2025,stock,1 ,17.19,2.32,u,G,,1,
,3,5,28,apt_low,apt,3,6/27/2025,stock,1 ,18.78,2.86,u,G,,1,
,3,5,28,apt_low,apt,4,6/27/2025,stock,1 ,13.89,1.89,u,G,,1,
,3,5,28,apt_low,apt,5,6/27/2025,stock,1 ,13.61,1.95,u,G,,1,
